,categories,published_year,average_rating,num_pages,ratings_count,tipo_avaliacao
135,40,1998,4.15,40,4030.0,acima da média
136,40,1981,4.33,104,10010.0,acima da média
137,40,1963,4.15,112,5191.0,acima da média
138,41,1999,4.28,128,142.0,acima da média
139,41,1998,4.3,80,713.0,acima da média
140,49,1995,3.51,341,60.0,abaixo da média
141,30,2003,4.03,400,5868.0,acima da média
142,44,2003,4.01,264,8738.0,acima da média
143,30,2002,3.75,272,923.0,abaixo da média
144,30,2002,3.75,288,4570.0,abaixo da média
145,8,2002,3.95,400,6812.0,acima da média
146,30,2003,4.36,928,5825.0,acima da média
147,30,2003,4.15,278,103375.0,acima da média
148,40,2003,4.14,64,2040.0,acima da média
149,30,2005,3.65,416,1164.0,abaixo da média
150,40,2005,4.25,64,7678.0,acima da média
151,30,2006,3.78,448,1115.0,abaixo da média
152,40,2004,4.21,64,3069.0,acima da média
153,30,2002,4.25,1139,80225.0,acima da média
154,41,2002,4.34,178,114058.0,acima da média
155,30,2006,4.02,387,153485.0,acima da média
156,30,2006,4.01,360,43210.0,acima da média
157,36,2003,3.49,186,2409.0,abaixo da média
158,45,2004,4.22,321,6447.0,acima da média
159,30,2003,3.98,404,15417.0,acima da média
160,40,2003,3.56,90,19910.0,abaixo da média
161,10,2003,3.99,286,28568.0,acima da média
162,30,2003,3.47,267,93.0,abaixo da média
163,30,2003,3.78,320,2191.0,abaixo da média
164,30,2006,3.74,345,73592.0,abaixo da média
165,30,2004,3.7,142,21578.0,abaixo da média
166,30,2006,3.6,205,46113.0,abaixo da média
167,10,2006,3.08,368,26.0,abaixo da média
168,30,2003,4.06,417,547207.0,acima da média
169,8,2003,3.99,464,210.0,acima da média
170,8,2004,3.75,592,10211.0,abaixo da média
171,30,1953,4.16,672,1736.0,acima da média
172,36,2004,3.59,650,11289.0,abaixo da média
173,30,2003,3.89,327,192637.0,abaixo da média
174,30,2003,3.58,442,140223.0,abaixo da média
175,40,2006,3.78,213,7733.0,abaixo da média
176,40,2003,4.41,96,256.0,acima da média
177,40,2005,3.96,192,24.0,acima da média
178,8,2006,4.22,384,352.0,acima da média
179,40,2005,3.74,240,76.0,abaixo da média
180,30,2003,4.09,417,9875.0,acima da média
181,8,2005,3.74,464,19305.0,abaixo da média
182,40,2004,4.19,48,5012.0,acima da média
183,30,2003,3.99,416,2393.0,acima da média
184,30,2007,4.01,400,11432.0,acima da média
185,10,2004,3.98,368,49529.0,acima da média
186,30,2004,3.75,321,34773.0,abaixo da média
187,30,2004,4.1,296,22530.0,acima da média
188,52,2004,4.23,336,2959.0,acima da média
189,36,2006,3.78,419,5242.0,abaixo da média
190,30,2004,4.04,416,97105.0,acima da média
191,30,2005,4.26,453,53112.0,acima da média
192,25,2004,3.54,368,126108.0,abaixo da média
193,30,2004,4.17,311,1296.0,acima da média
194,54,2006,3.99,288,1901.0,acima da média
195,63,2006,3.92,272,502.0,acima da média
196,30,2005,4.3,385,481.0,acima da média
197,30,2006,4.2,375,204.0,acima da média
198,67,2004,4.18,416,64.0,acima da média
199,69,2006,3.84,448,600.0,abaixo da média
200,30,2005,3.62,374,28414.0,abaixo da média
201,30,2006,3.67,312,21885.0,abaixo da média
202,30,2003,4.18,416,105317.0,acima da média
203,30,2004,4.02,512,401.0,acima da média
204,40,2006,4.03,64,280.0,acima da média
205,30,2005,3.69,273,114826.0,abaixo da média
206,56,2006,3.77,540,157734.0,abaixo da média
207,8,2004,3.88,176,410.0,abaixo da média
208,30,2006,4.07,387,88016.0,acima da média
209,30,2004,3.93,927,29981.0,acima da média
210,45,2006,3.96,400,300.0,acima da média
211,30,2005,3.93,384,3519.0,acima da média
212,30,2004,3.92,241,11794.0,acima da média
213,52,2004,3.94,187,27716.0,acima da média
214,30,2006,3.6,228,10334.0,abaixo da média
215,30,2005,3.65,244,11223.0,abaixo da média
216,30,2005,3.67,234,9839.0,abaixo da média
217,30,2004,3.67,249,9470.0,abaixo da média
218,8,2005,3.92,188,2181.0,acima da média
219,8,2006,4.04,256,1662.0,acima da média
220,58,1995,4.14,160,3998.0,acima da média
221,58,2002,4.13,321,2875.0,acima da média
222,58,1989,4.39,272,6658.0,acima da média
223,58,2002,3.96,256,5319.0,acima da média
224,58,1996,4.31,176,255.0,acima da média
225,58,2001,4.22,224,116735.0,acima da média
226,58,2001,4.32,227,7316.0,acima da média
227,58,1998,4.5,382,15.0,acima da média
228,40,2004,4.17,316,30018.0,acima da média
229,8,2003,4.07,310,16485.0,acima da média
230,8,2004,4.37,1072,112.0,acima da média
231,67,2004,4.21,218,42264.0,acima da média
232,30,2006,3.91,456,343.0,acima da média
233,40,2004,4.14,24,37.0,acima da média
234,30,2005,4.25,815,18790.0,acima da média
235,40,2004,3.99,191,1764.0,acima da média
236,30,2004,3.82,256,36255.0,abaixo da média
237,30,2004,3.79,336,26949.0,abaixo da média
238,30,2004,3.86,304,28420.0,abaixo da média
239,40,2004,3.74,128,12771.0,abaixo da média
240,40,2006,3.9,352,30.0,abaixo da média
241,40,2004,3.71,224,33009.0,abaixo da média
242,30,2004,3.53,409,2747.0,abaixo da média
243,30,2006,3.47,352,51493.0,abaixo da média
244,30,2004,4.05,373,4966.0,acima da média
245,30,2004,4.04,384,4458.0,acima da média
246,40,2004,4.15,263,31501.0,acima da média
247,40,2005,4.05,325,3203.0,acima da média
248,56,2006,4.13,272,7699.0,acima da média
249,68,2006,4.18,384,198.0,acima da média
250,66,2007,3.41,272,1106.0,abaixo da média
251,30,2005,4.02,272,10983.0,acima da média
252,30,2005,3.34,429,6408.0,abaixo da média
253,40,2005,3.5,240,3.0,abaixo da média
254,58,2005,4.2,98,517.0,acima da média
255,40,2006,3.84,116,2414.0,abaixo da média
256,35,2005,3.82,417,3099.0,abaixo da média
257,30,2005,4.26,766,1099.0,acima da média
258,40,2005,4.21,189,615.0,acima da média
259,40,2005,3.89,432,92.0,abaixo da média
260,30,2005,3.91,360,34478.0,acima da média
261,40,2005,4.27,32,264013.0,acima da média
262,30,2005,4.16,340,123044.0,acima da média
263,30,2005,3.31,131,13455.0,abaixo da média
264,30,2005,3.73,234,1316.0,abaixo da média
265,30,2005,3.61,384,322.0,abaixo da média
266,41,2006,4.0,32,20.0,acima da média
267,30,2007,4.02,384,2354.0,acima da média
268,30,2005,3.81,368,1569.0,abaixo da média
269,30,2006,4.28,510,46881.0,acima da média
270,30,2007,4.33,456,47314.0,acima da média
271,30,2005,3.64,320,21338.0,abaixo da média
272,30,2005,3.9,276,1754.0,abaixo da média
273,30,2006,3.95,368,9378.0,acima da média
274,30,2007,4.0,319,8974.0,acima da média
275,35,2005,3.08,192,30.0,abaixo da média
276,69,2006,3.99,352,200.0,acima da média
277,30,2006,4.03,576,9725.0,acima da média
278,30,2007,4.08,592,9413.0,acima da média
279,30,2006,3.54,464,3425.0,abaixo da média
280,8,2004,4.49,1840,140.0,acima da média
281,30,2005,3.91,372,4857.0,acima da média
282,30,2006,4.16,400,1859.0,acima da média
283,30,2006,4.2,464,1505.0,acima da média
284,8,2005,4.05,432,89.0,acima da média
285,30,2005,3.91,313,898.0,acima da média
286,8,2006,3.51,304,34.0,abaixo da média
287,8,2005,4.14,368,1460.0,acima da média
288,30,2005,4.23,673,516.0,acima da média
289,36,2005,3.87,464,14491.0,abaixo da média
290,8,2005,3.84,242,81384.0,abaixo da média
291,30,2006,3.86,295,99.0,abaixo da média
292,44,2006,3.96,176,1351.0,acima da média
293,47,2005,4.18,224,152.0,acima da média
294,40,2005,4.21,189,56.0,acima da média
